job_key,duplicate_key,job_title,company,location,source,score,match_percent,fit_category,target_track,recommended_resume,resume_fit_level,resume_fit_score,resume_suggestions,missing_or_watch_skills,interview_focus,job_intelligence_summary,why_this_fits,resume_focus,job_intelligence_interview_focus,potential_concerns,suggested_next_action,location_status,company_bonus,company_watchlist_category,target_strength,recommendation,apply_priority,application_status,application_stage,application_date,resume_used,cover_letter_used,recruiter_name,recruiter_email,interview_date,salary,follow_up_date,last_updated,apply_url,source_email_url,job_link,notes,match_reasons,email_subject,email_date
url|linkedin.com|jobs/view/4432814296,url|linkedin.com|jobs/view/4432814296,Revenue Operations Analyst (RevOps) – Salesforce,Informativ,United States (Remote),LinkedIn,215,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Revenue Operations Analyst (RevOps) – Salesforce at Informativ is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,https://www.linkedin.com/comm/jobs/view/4432814296/?trackingId=CJDzbx0CBUaMdfBRJ9L%2Bug%3D%3D&refId=GixHm4J6sMpRF9ejrhUdrQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BWKAwdQXTQo%2B33AS2bmla0A%3D%3D&midToken=AQEueGkJOVadGg&midSig=3kBI74iKkakYk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432814296_ssid_15973904988_fmid_e8kqnz~mqw0o3jl~fm&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432814296_ssid_15973904988_fmid_e8kqnz~mqw0o3jl~fm-null-e8kqnz~mqw0o3jl~fm-null-null&eid=e8kqnz-mqw0o3jl-fm&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjA4Y2M3ZDk0MjkxYTY4NzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4YWViNzZkZmUyYzY1MmU3YTM5M2IxMTc1YjZmZGQ4YTg4ZDBlYjE4NzkzMzBhOTgsMSwx,https://mail.google.com/mail/u/0/#inbox/19f07e6ce93c7c3b,https://www.linkedin.com/comm/jobs/view/4432814296/?trackingId=CJDzbx0CBUaMdfBRJ9L%2Bug%3D%3D&refId=GixHm4J6sMpRF9ejrhUdrQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BWKAwdQXTQo%2B33AS2bmla0A%3D%3D&midToken=AQEueGkJOVadGg&midSig=3kBI74iKkakYk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432814296_ssid_15973904988_fmid_e8kqnz~mqw0o3jl~fm&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432814296_ssid_15973904988_fmid_e8kqnz~mqw0o3jl~fm-null-e8kqnz~mqw0o3jl~fm-null-null&eid=e8kqnz-mqw0o3jl-fm&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjA4Y2M3ZDk0MjkxYTY4NzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4YWViNzZkZmUyYzY1MmU3YTM5M2IxMTc1YjZmZGQ4YTg4ZDBlYjE4NzkzMzBhOTgsMSwx,,"salesforce, analyst, operations analyst, operations, revops, revenue operations, Remote",Revenue Operations Analyst (RevOps) – Salesforce at Informativ,2026-06-27
url|linkedin.com|jobs/view/4431846454,url|linkedin.com|jobs/view/4431846454,Salesforce Admin Certified Business Analyst II,The Adecco Group,United States (Remote),LinkedIn,200,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce Admin Certified Business Analyst II at The Adecco Group is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,https://www.linkedin.com/comm/jobs/view/4431846454/?trackingId=1MifgKrkAhRZGdba6VWw4A%3D%3D&refId=MoEmeozAYYTZuqHUNGGYKQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BQGVb0%2F1%2BQMG4wjc%2FxD12DA%3D%3D&midToken=AQEueGkJOVadGg&midSig=0lbeqGpOSikIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4431846454_ssid_15973904972_fmid_e8kqnz~mqvwdri1~c0&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4431846454_ssid_15973904972_fmid_e8kqnz~mqvwdri1~c0-null-e8kqnz~mqvwdri1~c0-null-null&eid=e8kqnz-mqvwdri1-c0&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjc4OWM5ZDk0Njk5YWM4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkMzg1NzVmMmZmZGM3OWJiNTJiNDY3ODY5NzAwMDU1NjJkOTA3NWZjODVlNmI1ZGQsMSwx,https://mail.google.com/mail/u/0/#inbox/19f0778ffaf1964c,https://www.linkedin.com/comm/jobs/view/4431846454/?trackingId=1MifgKrkAhRZGdba6VWw4A%3D%3D&refId=MoEmeozAYYTZuqHUNGGYKQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BQGVb0%2F1%2BQMG4wjc%2FxD12DA%3D%3D&midToken=AQEueGkJOVadGg&midSig=0lbeqGpOSikIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4431846454_ssid_15973904972_fmid_e8kqnz~mqvwdri1~c0&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4431846454_ssid_15973904972_fmid_e8kqnz~mqvwdri1~c0-null-e8kqnz~mqvwdri1~c0-null-null&eid=e8kqnz-mqvwdri1-c0&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UyYjc4OWM5ZDk0Njk5YWM4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkMzg1NzVmMmZmZGM3OWJiNTJiNDY3ODY5NzAwMDU1NjJkOTA3NWZjODVlNmI1ZGQsMSwx,,"salesforce admin, salesforce, business analyst, analyst, Remote, 100k+ salary signal",Salesforce Admin Certified Business Analyst II at The Adecco Group: up to $110K/year,2026-06-27
"job|(senior) salesforce consultants (salesforce developer, salesforce architect|or salesforce administrator full remote consultant|all european careers","job|(senior) salesforce consultants (salesforce developer, salesforce architect|or salesforce administrator full remote consultant|all european careers","(Senior) Salesforce Consultants (Salesforce Developer, Salesforce Architect",or Salesforce Administrator) - Full remote - Consultant,All-European Careers,Google Job Alert,200,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"(Senior) Salesforce Consultants (Salesforce Developer, Salesforce Architect at or Salesforce Administrator) - Full remote - Consultant is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Dream Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Dream Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,35,Dream Company,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,,https://mail.google.com/mail/u/0/#inbox/19f0693ba6dd850a,https://mail.google.com/mail/u/0/#inbox/19f0693ba6dd850a,,"salesforce administrator, salesforce admin, salesforce, Remote, Dream Company: Salesforce","10 new jobs for ""salesforce administrator remote"" - Jun 26",2026-06-26
"job|salesforce administrator hybrid near minneapolis, mn|minneapolis mn|senior salesforce admin hybrid drive crm automation","job|salesforce administrator hybrid near minneapolis, mn|minneapolis mn|senior salesforce admin hybrid drive crm automation","Salesforce administrator hybrid near Minneapolis, MN","Minneapolis, MN",Senior Salesforce Admin — Hybrid: Drive CRM Automation,Google Job Alert,195,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce administrator hybrid near Minneapolis, MN at Minneapolis, MN is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,,https://mail.google.com/mail/u/0/#inbox/19efae4048cde3e6,https://mail.google.com/mail/u/0/#inbox/19efae4048cde3e6,,"salesforce administrator, salesforce admin, salesforce, crm, Hybrid, Minnesota location","3 new jobs for ""salesforce administrator hybrid near Minneapolis, MN"" - Jun 24",2026-06-24
"job|salesforce administrator hybrid near minneapolis, mn|minneapolis mn|senior salesforce api integration analyst","job|salesforce administrator hybrid near minneapolis, mn|minneapolis mn|senior salesforce api integration analyst","Salesforce administrator hybrid near Minneapolis, MN","Minneapolis, MN",Senior Salesforce & API Integration Analyst (Hybrid),Google Job Alert,190,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce administrator hybrid near Minneapolis, MN at Minneapolis, MN is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,,https://mail.google.com/mail/u/0/#inbox/19f062788472a959,https://mail.google.com/mail/u/0/#inbox/19f062788472a959,,"salesforce administrator, salesforce admin, salesforce, analyst, Hybrid, Minnesota location","1 new job for ""salesforce administrator hybrid near Minneapolis, MN"" - Jun 26",2026-06-26
job|sales operations analyst / salesforce / ai|motion recruitment|san francisco ca,job|sales operations analyst / salesforce / ai|motion recruitment|san francisco ca,Sales Operations Analyst / Salesforce / AI,Motion Recruitment,"San Francisco, CA (Remote)",LinkedIn,180,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Sales Operations Analyst / Salesforce / AI at Motion Recruitment is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,"https://www.linkedin.com/comm/jobs/search?keywords=Operations+Analyst&distance=25&geoId=103644278&f_TPR=a1782236112-&f_SAL=&sortBy=R&origin=JOB_ALERT_EMAIL&originToLandingJobPostings=4432443602,4422609092,4318124641,4432457064,4422612090,4432507283&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BIPflYn26Q1Gia%2FTCYIqJyQ%3D%3D&midToken=AQEueGkJOVadGg&midSig=0XISufhXEyiIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15895669172_fmid_e8kqnz~mqtr7zz4~rc&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15895669172_fmid_e8kqnz~mqtr7zz4~rc-null-e8kqnz~mqtr7zz4~rc-null-null&eid=e8kqnz-mqtr7zz4-rc&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjQ4OGNjZDE0Nzk5YWY4ODYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkM2ZlMGZkYWM3ZmU1ZTg2ZmQ5NTcxYTMxY2VlNThhMDhmY2M0YTJiODkxNmE1NmQsMSwx",https://mail.google.com/mail/u/0/#inbox/19effbfbef3ae91e,"https://www.linkedin.com/comm/jobs/search?keywords=Operations+Analyst&distance=25&geoId=103644278&f_TPR=a1782236112-&f_SAL=&sortBy=R&origin=JOB_ALERT_EMAIL&originToLandingJobPostings=4432443602,4422609092,4318124641,4432457064,4422612090,4432507283&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BIPflYn26Q1Gia%2FTCYIqJyQ%3D%3D&midToken=AQEueGkJOVadGg&midSig=0XISufhXEyiIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15895669172_fmid_e8kqnz~mqtr7zz4~rc&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15895669172_fmid_e8kqnz~mqtr7zz4~rc-null-e8kqnz~mqtr7zz4~rc-null-null&eid=e8kqnz-mqtr7zz4-rc&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjQ4OGNjZDE0Nzk5YWY4ODYxNzljMzA2Njk0NjUyNTVmMWY3ZGZkM2ZlMGZkYWM3ZmU1ZTg2ZmQ5NTcxYTMxY2VlNThhMDhmY2M0YTJiODkxNmE1NmQsMSwx",,"salesforce, analyst, operations analyst, operations, sales operations, Remote",Sales Operations Analyst / Salesforce / AI at Motion Recruitment,2026-06-25
job|sales operations senior analyst|salesforce|seattle wa,job|sales operations senior analyst|salesforce|seattle wa,Sales Operations Senior Analyst,Salesforce,"Seattle, WA (Hybrid)",LinkedIn,175,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Sales Operations Senior Analyst at Salesforce is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Dream Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Dream Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,35,Dream Company,Good Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,"https://www.linkedin.com/comm/jobs/search?keywords=Sales+Operations+Analyst&distance=25&geoId=103644278&f_TPR=a1782339534-&f_SAL=&sortBy=R&origin=JOB_ALERT_EMAIL&originToLandingJobPostings=4433301128,4432158928,4432691822,4432695542,4432133260,4432607681&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3B6cyT2gtHRAKmVgiXf%2FzKSA%3D%3D&midToken=AQEueGkJOVadGg&midSig=2WFVIzlJT2jYk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15953640676_fmid_e8kqnz~mqv6nuaj~4y&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15953640676_fmid_e8kqnz~mqv6nuaj~4y-null-e8kqnz~mqv6nuaj~4y-null-null&eid=e8kqnz-mqv6nuaj-4y&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYmQ4Y2M4ZDE0ODlmYWU4NzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4MWUxNDdlNmZiY2I0NWFkNTNmNmRlYjFmM2U3YjkxYTQ0MjAxYTRkMTQ1NmRkM2YsMSwx",https://mail.google.com/mail/u/0/#inbox/19f04e6370136bee,"https://www.linkedin.com/comm/jobs/search?keywords=Sales+Operations+Analyst&distance=25&geoId=103644278&f_TPR=a1782339534-&f_SAL=&sortBy=R&origin=JOB_ALERT_EMAIL&originToLandingJobPostings=4433301128,4432158928,4432691822,4432695542,4432133260,4432607681&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3B6cyT2gtHRAKmVgiXf%2FzKSA%3D%3D&midToken=AQEueGkJOVadGg&midSig=2WFVIzlJT2jYk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15953640676_fmid_e8kqnz~mqv6nuaj~4y&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_15953640676_fmid_e8kqnz~mqv6nuaj~4y-null-e8kqnz~mqv6nuaj~4y-null-null&eid=e8kqnz-mqv6nuaj-4y&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYmQ4Y2M4ZDE0ODlmYWU4NzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4MWUxNDdlNmZiY2I0NWFkNTNmNmRlYjFmM2U3YjkxYTQ0MjAxYTRkMTQ1NmRkM2YsMSwx",,"salesforce, analyst, operations, sales operations, Hybrid, Dream Company: Salesforce",Sales Operations Support - HPEN Cloud at Hewlett Packard Enterprise,2026-06-26
job|sales operations analyst|thermo fisher scientific|liverpool,job|sales operations analyst|thermo fisher scientific|liverpool,Sales Operations Analyst II,Thermo Fisher Scientific,Liverpool (Remote),LinkedIn,175,100,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Excellent Resume Fit,100,"Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",None flagged,Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,"Sales Operations Analyst II at Thermo Fisher Scientific is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,No major concerns flagged by current rules,Prioritize for application,Preferred,20,Target Company,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Sales Ops / RevOps Resume,No,,,,,,2026-06-27,"https://www.linkedin.com/comm/jobs/search?keywords=Salesforce&distance=25&geoId=103039849&f_TPR=a1782033851-&sortBy=R&origin=JOB_ALERT_EMAIL&originToLandingJobPostings=4418352256,4418351222,4418343357,4418352259,4418352255,4418348293&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BV3SyKerzRv6sYJUKNFdHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=22g543xe7jgck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_14905597132_fmid_e8kqnz~mqre3fxj~x5&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_14905597132_fmid_e8kqnz~mqre3fxj~x5-null-e8kqnz~mqre3fxj~x5-null-null&eid=e8kqnz-mqre3fxj-x5&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2U1YjI4YmNjZDE0MjliYWQ4ZTYxNzljMzA2Njk0NjUyNTVmMWY3ZGZiMzk2MTNlN2RkZmU0MGZiNDA2YTRkNWE1MGQ3NzU3YjhiNDE2YmE4ODMwNTdjMmUsMSwx",https://mail.google.com/mail/u/0/#inbox/19ef739b2f166ebf,"https://www.linkedin.com/comm/jobs/search?keywords=Salesforce&distance=25&geoId=103039849&f_TPR=a1782033851-&sortBy=R&origin=JOB_ALERT_EMAIL&originToLandingJobPostings=4418352256,4418351222,4418343357,4418352259,4418352255,4418348293&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BV3SyKerzRv6sYJUKNFdHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=22g543xe7jgck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_14905597132_fmid_e8kqnz~mqre3fxj~x5&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-header_ssid_14905597132_fmid_e8kqnz~mqre3fxj~x5-null-e8kqnz~mqre3fxj~x5-null-null&eid=e8kqnz-mqre3fxj-x5&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2U1YjI4YmNjZDE0MjliYWQ4ZTYxNzljMzA2Njk0NjUyNTVmMWY3ZGZiMzk2MTNlN2RkZmU0MGZiNDA2YTRkNWE1MGQ3NzU3YjhiNDE2YmE4ODMwNTdjMmUsMSwx",,"analyst, operations analyst, operations, sales operations, erp, Remote, Target Company: Thermo Fisher",Sales Operations Analyst II at Thermo Fisher Scientific,2026-06-24
"job|salesforce administrator hybrid near minneapolis, mn|minneapolis mn|logo","job|salesforce administrator hybrid near minneapolis, mn|minneapolis mn|logo","Salesforce administrator hybrid near Minneapolis, MN","Minneapolis, MN",Logo,Google Job Alert,170,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce administrator hybrid near Minneapolis, MN at Minneapolis, MN is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,,https://mail.google.com/mail/u/0/#inbox/19f062788472a959,https://mail.google.com/mail/u/0/#inbox/19f062788472a959,,"salesforce administrator, salesforce admin, salesforce, Hybrid, Minnesota location","1 new job for ""salesforce administrator hybrid near Minneapolis, MN"" - Jun 26",2026-06-26
job|global salesforce crm administrator | data & reporting|heraeus holding gmbh|minnesota,job|global salesforce crm administrator | data & reporting|heraeus holding gmbh|minnesota,Global Salesforce CRM Administrator | Data & Reporting,Heraeus Holding GmbH,"St Paul, MN, United States",Google Job Alert,170,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Global Salesforce CRM Administrator | Data & Reporting at Heraeus Holding GmbH is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-27,,https://mail.google.com/mail/u/0/#inbox/19efc5c584ea6348,https://mail.google.com/mail/u/0/#inbox/19efc5c584ea6348,,"salesforce, crm administrator, crm admin, crm, reporting, Minnesota location","10 new jobs for ""salesforce administrator jobs mn"" - Jun 24",2026-06-24
