job_key,job_title,company,location,source,score,match_percent,fit_category,target_track,recommended_resume,resume_fit_level,resume_fit_score,resume_suggestions,missing_or_watch_skills,interview_focus,job_intelligence_summary,why_this_fits,resume_focus,job_intelligence_interview_focus,potential_concerns,suggested_next_action,location_status,company_bonus,company_watchlist_category,target_strength,recommendation,apply_priority,application_status,application_stage,application_date,resume_used,cover_letter_used,recruiter_name,recruiter_email,interview_date,salary,follow_up_date,last_updated,job_link,notes,match_reasons,email_subject,email_date
revenue operations analyst (revops) – salesforce|informativ,Revenue Operations Analyst (RevOps) – Salesforce,Informativ,United States (Remote),LinkedIn,215,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Revenue Operations Analyst (RevOps) – Salesforce at Informativ is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"salesforce, analyst, operations analyst, operations, revops, revenue operations, Remote","Analyst, Revenue Operations at JD Power",2026-06-26
sales operations analyst / salesforce / ai|motion recruitment,Sales Operations Analyst / Salesforce / AI,Motion Recruitment,"San Francisco, CA (Remote)",LinkedIn,180,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Sales Operations Analyst / Salesforce / AI at Motion Recruitment is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce, analyst, operations analyst, operations, sales operations, Remote","“Salesforce Administrator
CRM…”: Informativ - Revenue Operations Analyst (RevOps) – Salesforce posted on 6/24/26",2026-06-25
salesforce admin certified business analyst|the adecco group,Salesforce Admin Certified Business Analyst II,The Adecco Group,United States (Remote),LinkedIn,175,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce Admin Certified Business Analyst II at The Adecco Group is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"salesforce admin, salesforce, business analyst, analyst, Remote",Salesforce Administrator at Decera Clinical,2026-06-26
global salesforce crm administrator | data & reporting|heraeus holding gmbh,Global Salesforce CRM Administrator | Data & Reporting,Heraeus Holding GmbH,"St Paul, MN, United States",Google Job Alert,170,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Global Salesforce CRM Administrator | Data & Reporting at Heraeus Holding GmbH is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce, crm administrator, crm admin, crm, reporting, Minnesota location","10 new jobs for ""salesforce administrator jobs mn"" - Jun 24",2026-06-24
"salesforce administrator hybrid near minneapolis, mn|minneapolis, mn","Salesforce administrator hybrid near Minneapolis, MN","Minneapolis, MN",Logo,Google Job Alert,170,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce administrator hybrid near Minneapolis, MN at Minneapolis, MN is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce administrator, salesforce admin, salesforce, Hybrid, Minnesota location","3 new jobs for ""salesforce administrator hybrid near Minneapolis, MN"" - Jun 24",2026-06-24
"senior salesforce admin — hybrid: drive crm automation|patterson companies, inc.",Senior Salesforce Admin — Hybrid: Drive CRM Automation,"Patterson Companies, Inc.","Minneapolis, MN, United States",Google Job Alert,170,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Senior Salesforce Admin — Hybrid: Drive CRM Automation at Patterson Companies, Inc. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,20,Target Company,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce admin, salesforce, crm, Hybrid, Minnesota location, Target Company: Patterson Companies","3 new jobs for ""salesforce administrator hybrid near Minneapolis, MN"" - Jun 24",2026-06-24
salesforce administrator|decera clinical,Salesforce Administrator,Decera Clinical,United States (Remote),LinkedIn,165,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce Administrator at Decera Clinical is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"salesforce administrator, salesforce admin, salesforce, Remote",Salesforce Administrator at Decera Clinical,2026-06-26
salesforce administrator|insight global,Salesforce Administrator,Insight Global,United States (Remote),LinkedIn,165,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce Administrator at Insight Global is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,Salesforce Resume,No,,,,,,2026-06-25,,,"salesforce administrator, salesforce admin, salesforce, Remote",Salesforce Operations CRM Analyst at Stand8 Technology Consulting: up to $60/hour,2026-06-25
"salesforce administrator us, remote|eleos health inc.","Salesforce Administrator US, Remote",Eleos Health Inc.,"90210, Beverly Hills, CA, United States",Google Job Alert,165,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Salesforce Administrator US, Remote at Eleos Health Inc. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce administrator, salesforce admin, salesforce, Remote","10 new jobs for ""salesforce admin jobs remote "" - Jun 24",2026-06-24
junior salesforce administrator – work from home|it recruiters for tech jobs - itrecruiters.technology,Junior Salesforce Administrator – Work From Home,IT Recruiters for Tech Jobs - itrecruiters.technology,"Chicago, IL, United States",Google Job Alert,165,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,100,"Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",None flagged,Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,"Junior Salesforce Administrator – Work From Home at IT Recruiters for Tech Jobs - itrecruiters.technology is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Preferred,0,,Strong Target,Apply Now,Apply within 24 hours,Not Applied,Not Applied,,,,,,,,,6/25/2026,,,"salesforce administrator, salesforce admin, salesforce, Remote","10 new jobs for ""salesforce admin jobs remote "" - Jun 24",2026-06-24
